4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product category,Product division,Province,Region,SP Compliance,SP Compliant,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Total Audited,Trade Format
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,3/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,4/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,4/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,4/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,5/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,5/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,5/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,6/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,6/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,6/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,7/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,0,8,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,7/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,0,6,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,7/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,8/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,8/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,8/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,9/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,9/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,9/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,10/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,10/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,10/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,0,4,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,11/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,11/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,11/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,12/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,12/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,12/15/2015,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,1/15/2016,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,1/15/2016,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,1/15/2016,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,2/15/2016,Customer 154,Outlet 156,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,2/15/2016,Customer 154,Outlet 156,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,0,6,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT
4P,Banner 154,Drug,City 5,SEAA,Commune 5,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,2/15/2016,Customer 154,Outlet 156,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,3/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),5,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,3/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,3/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,3/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),1,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,3/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),9,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,4/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,0,4,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),5,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,4/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,4/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,4/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),1,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,4/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,0,8,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),9,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,5/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),5,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,5/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,5/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,5/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),1,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,5/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,0,8,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),9,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,6/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),5,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,6/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,6/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,6/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),1,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,6/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),9,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,7/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),5,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,7/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,7/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,7/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),1,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,7/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,0,8,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),9,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,8/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),5,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,8/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,8/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,8/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),1,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,8/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),9,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,9/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,0,4,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),5,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,9/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,9/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,9/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),1,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,9/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),9,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,10/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),5,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,10/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,0,2,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,10/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,10/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),1,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,10/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),9,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,11/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),5,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,11/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,11/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),3,MT
6P,Banner 157,Mass Merchandiser (non-grocery),City 5,SEAA,Commune 5,Category,Thailand,Customer 157,Local,Key Customer,DTRT 5,11/15/2015,Customer 157,Outlet 157,LSW9,LSW10,MIX,Ice Cream,Beverages & Refreshments,Province 5,Central,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mass Merchandiser (non-grocery),1,MT
