4P/5P/6P,Banner,Cabinet,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product category,Product division,Province,Region,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Trade Format
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-03-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-03-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-04-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-04-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-04-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-05-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-05-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-05-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-06-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-06-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-06-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-07-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-07-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-07-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-08-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-08-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-08-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-09-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-09-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-09-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-10-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-10-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-10-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-11-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-11-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-11-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-12-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-12-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-12-15,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-01-16,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-01-16,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-01-16,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 1019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-02-16,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 19,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-02-16,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 19,Cabinet 2019,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Global,Key Customer,DTRT 1,15-02-16,Customer 19,Outlet 19,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-03-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-03-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-03-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-04-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-04-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-04-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-05-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-05-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-05-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-06-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-06-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-06-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-07-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-07-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-07-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-08-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-08-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-08-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-09-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-09-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-09-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-10-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-10-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-10-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-11-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-11-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-11-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-12-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-12-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-12-15,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-01-16,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-01-16,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-01-16,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 1022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-02-16,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 2022,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-02-16,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 22,Cabinet 22,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Regional,Key Customer,DTRT 1,15-02-16,Customer 22,Outlet 22,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,MT
6P,Banner 25,Cabinet 1025,Mass Merchandiser (non-grocery),City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,15-03-15,Customer 25,Outlet 25,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mass Merchandiser (non-grocery),MT
6P,Banner 25,Cabinet 2025,Mass Merchandiser (non-grocery),City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,15-03-15,Customer 25,Outlet 25,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mass Merchandiser (non-grocery),MT
6P,Banner 25,Cabinet 25,Mass Merchandiser (non-grocery),City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,15-03-15,Customer 25,Outlet 25,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mass Merchandiser (non-grocery),MT
6P,Banner 25,Cabinet 1025,Mass Merchandiser (non-grocery),City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,15-04-15,Customer 25,Outlet 25,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mass Merchandiser (non-grocery),MT
6P,Banner 25,Cabinet 2025,Mass Merchandiser (non-grocery),City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,15-04-15,Customer 25,Outlet 25,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mass Merchandiser (non-grocery),MT
6P,Banner 25,Cabinet 25,Mass Merchandiser (non-grocery),City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,15-04-15,Customer 25,Outlet 25,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mass Merchandiser (non-grocery),MT
6P,Banner 25,Cabinet 1025,Mass Merchandiser (non-grocery),City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,15-05-15,Customer 25,Outlet 25,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mass Merchandiser (non-grocery),MT
6P,Banner 25,Cabinet 2025,Mass Merchandiser (non-grocery),City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Local,Key Customer,DTRT 1,15-05-15,Customer 25,Outlet 25,LSW1,LSW2,MIX,Ice Cream,Beverages & Refreshments,Province 1,North,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mass Merchandiser (non-grocery),MT
