4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Modified Product Category,Outlet classification,PSP Compliance,Place Compliance,Product category,Product division,Province,Region,SOS Compliance,SSP Compliance,Sales area,Sales region,Sales route,Sales territory,Secondary Customer,Store area,Store location,Store type,Subchannel,Sum of PLACE - PSP - Answer,Sum of PLACE - PSP - Question,Sum of PLACE - SSP - Answer,Sum of PLACE - SSP - Question,Sum of Total Category Length,Sum of Unilever Length,Trade Format
5P,Banner 65,On Premise / Impulse,City 2,SEAA,Commune 2,Outlet,Indonesia,Customer 64,Regional,Key Customer,DTRT 2,3/15/2015,(blank),Outlet 65,LSW33,LSW44,Outlet 65,MIX,1,1,Oral Care,HPC,Province 2,South,0,0,Area 2,Reg 2,Route 2,Territory 2,Outlet 65,St Area 2,Loc 2,(blank),Non-food retail,4,4,4,4,10,3.3,DT
4P,Banner 67,Hypermarket,City 3,SEAA,Commune 3,Category,Philippines,Customer 67,Global,Key Customer,DTRT 3,3/15/2015,Customer 67,Outlet 69,LSW5,LSW6,Deodorants,MIX,1,0,Deodorants,HPC,Province 3,East,0,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Hypermarket,4,4,4,4,4,1.2,MT
4P,Banner 70,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 70,Others,Others,DTRT 3,3/15/2015,Customer 70,Outlet 72,LSW5,LSW6,Deodorants,MIX,1,0,Deodorants,HPC,Province 3,East,1,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Large Supermarkets,3,4,3,4,7,2.1,MT
4P,Banner 73,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,3/15/2015,Customer 73,Outlet 75,LSW5,LSW6,Deodorants,MIX,1,0,Deodorants,HPC,Province 3,East,0,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Small Supermarkets,4,4,4,4,7,2.1,MT
4P,Banner 76,Discounters,City 3,SEAA,Commune 3,Category,Philippines,Customer 76,Local,Key Customer,DTRT 3,3/15/2015,Customer 76,Outlet 78,LSW5,LSW6,Deodorants,MIX,1,1,Deodorants,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Discounters,4,4,4,4,5,1.6,MT
4P,Banner 79,Club,City 3,SEAA,Commune 3,Category,Philippines,Customer 79,Global,Key Customer,DTRT 3,3/15/2015,Customer 79,Outlet 81,LSW5,LSW6,Deodorants,MIX,1,1,Deodorants,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Club,4,4,4,4,10,3.8,MT
4P,Banner 82,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 82,Others,Others,DTRT 3,3/15/2015,Customer 82,Outlet 84,LSW5,LSW6,Deodorants,MIX,1,0,Deodorants,HPC,Province 3,East,1,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),E-Commerce,3,4,3,4,6,2.04,MT
4P,Banner 85,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 85,Global,Key Customer,DTRT 3,3/15/2015,Customer 85,Outlet 87,LSW5,LSW6,Deodorants,MIX,1,1,Deodorants,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Direct Sales,4,4,4,4,3,1.02,MT
4P,Banner 88,Drug,City 3,SEAA,Commune 3,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,3/15/2015,Customer 88,Outlet 90,LSW5,LSW6,Deodorants,MIX,1,1,Deodorants,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Mainstream Drugstores,4,4,4,4,8,2.56,MT
4P,Banner 91,MT,City 3,SEAA,Commune 3,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,3/15/2015,Customer 91,Outlet 93,LSW5,LSW6,Deodorants,MIX,1,1,Deodorants,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Mass Merchandiser (non-grocery),4,4,4,4,9,3.24,MT
4P,Banner 67,Hypermarket,City 3,SEAA,Commune 3,Category,Philippines,Customer 67,Global,Key Customer,DTRT 3,3/15/2015,Customer 67,Outlet 69,LSW5,LSW6,Dressings,MIX,0,0,Dressings,Foods,Province 3,East,1,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Hypermarket,2,4,2,4,5,1.85,MT
4P,Banner 70,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 70,Others,Others,DTRT 3,3/15/2015,Customer 70,Outlet 72,LSW5,LSW6,Dressings,MIX,1,0,Dressings,Foods,Province 3,East,0,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Large Supermarkets,4,4,4,4,8,2.72,MT
4P,Banner 73,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,3/15/2015,Customer 73,Outlet 75,LSW5,LSW6,Dressings,MIX,1,0,Dressings,Foods,Province 3,East,1,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Small Supermarkets,3,4,3,4,2,0.76,MT
4P,Banner 76,Discounters,City 3,SEAA,Commune 3,Category,Philippines,Customer 76,Local,Key Customer,DTRT 3,3/15/2015,Customer 76,Outlet 78,LSW5,LSW6,Dressings,MIX,1,1,Dressings,Foods,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Discounters,4,4,4,4,8,3.2,MT
4P,Banner 79,Club,City 3,SEAA,Commune 3,Category,Philippines,Customer 79,Global,Key Customer,DTRT 3,3/15/2015,Customer 79,Outlet 81,LSW5,LSW6,Dressings,MIX,1,0,Dressings,Foods,Province 3,East,1,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Club,3,4,3,4,7,2.24,MT
4P,Banner 82,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 82,Others,Others,DTRT 3,3/15/2015,Customer 82,Outlet 84,LSW5,LSW6,Dressings,MIX,1,1,Dressings,Foods,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),E-Commerce,4,4,4,4,4,1.56,MT
4P,Banner 85,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 85,Global,Key Customer,DTRT 3,3/15/2015,Customer 85,Outlet 87,LSW5,LSW6,Dressings,MIX,1,0,Dressings,Foods,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Direct Sales,3,4,3,4,6,2.04,MT
4P,Banner 88,Drug,City 3,SEAA,Commune 3,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,3/15/2015,Customer 88,Outlet 90,LSW5,LSW6,Dressings,MIX,1,1,Dressings,Foods,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Mainstream Drugstores,4,4,4,4,5,2,MT
4P,Banner 91,MT,City 3,SEAA,Commune 3,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,3/15/2015,Customer 91,Outlet 93,LSW5,LSW6,Dressings,MIX,1,1,Dressings,Foods,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Mass Merchandiser (non-grocery),4,4,4,4,4,1.36,MT
6P,Banner 67,Hypermarket,City 3,SEAA,Commune 3,Category,Philippines,Customer 67,Global,Key Customer,DTRT 3,3/15/2015,Customer 67,Outlet 67,LSW5,LSW6,Hair,MIX,1,1,Hair,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Hypermarket,4,4,4,4,9,3.33,MT
6P,Banner 70,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 70,Others,Others,DTRT 3,3/15/2015,Customer 70,Outlet 70,LSW5,LSW6,Hair,MIX,1,1,Hair,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Large Supermarkets,4,4,4,4,7,2.38,MT
6P,Banner 73,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,3/15/2015,Customer 73,Outlet 73,LSW5,LSW6,Hair,MIX,1,1,Hair,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Small Supermarkets,4,4,4,4,5,1.55,MT
6P,Banner 76,Discounters,City 3,SEAA,Commune 3,Category,Philippines,Customer 76,Local,Key Customer,DTRT 3,3/15/2015,Customer 76,Outlet 76,LSW5,LSW6,Hair,MIX,1,0,Hair,HPC,Province 3,East,1,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Discounters,3,4,3,4,5,1.8,MT
6P,Banner 79,Club,City 3,SEAA,Commune 3,Category,Philippines,Customer 79,Global,Key Customer,DTRT 3,3/15/2015,Customer 79,Outlet 79,LSW5,LSW6,Hair,MIX,1,0,Hair,HPC,Province 3,East,0,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Club,4,4,4,4,7,2.45,MT
6P,Banner 82,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 82,Others,Others,DTRT 3,3/15/2015,Customer 82,Outlet 82,LSW5,LSW6,Hair,MIX,1,0,Hair,HPC,Province 3,East,0,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),E-Commerce,4,4,4,4,6,1.98,MT
6P,Banner 85,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 85,Global,Key Customer,DTRT 3,3/15/2015,Customer 85,Outlet 85,LSW5,LSW6,Hair,MIX,1,1,Hair,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Direct Sales,4,4,4,4,10,3.6,MT
6P,Banner 88,Drug,City 3,SEAA,Commune 3,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,3/15/2015,Customer 88,Outlet 88,LSW5,LSW6,Hair,MIX,1,1,Hair,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Mainstream Drugstores,4,4,4,4,4,1.36,MT
6P,Banner 91,MT,City 3,SEAA,Commune 3,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,3/15/2015,Customer 91,Outlet 91,LSW5,LSW6,Hair,MIX,1,0,Hair,HPC,Province 3,East,1,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Mass Merchandiser (non-grocery),3,4,3,4,8,2.48,MT
4P,Banner 67,Hypermarket,City 3,SEAA,Commune 3,Category,Philippines,Customer 67,Global,Key Customer,DTRT 3,3/15/2015,Customer 67,Outlet 69,LSW5,LSW6,Oral Care,MIX,1,1,Oral Care,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Hypermarket,4,4,4,4,7,2.66,MT
4P,Banner 70,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 70,Others,Others,DTRT 3,3/15/2015,Customer 70,Outlet 72,LSW5,LSW6,Oral Care,MIX,1,0,Oral Care,HPC,Province 3,East,1,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Large Supermarkets,3,4,3,4,3,1.02,MT
4P,Banner 73,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,3/15/2015,Customer 73,Outlet 75,LSW5,LSW6,Oral Care,MIX,1,1,Oral Care,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Small Supermarkets,4,4,4,4,6,1.98,MT
4P,Banner 76,Discounters,City 3,SEAA,Commune 3,Category,Philippines,Customer 76,Local,Key Customer,DTRT 3,3/15/2015,Customer 76,Outlet 78,LSW5,LSW6,Oral Care,MIX,1,1,Oral Care,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Discounters,4,4,4,4,9,3.15,MT
4P,Banner 79,Club,City 3,SEAA,Commune 3,Category,Philippines,Customer 79,Global,Key Customer,DTRT 3,3/15/2015,Customer 79,Outlet 81,LSW5,LSW6,Oral Care,MIX,1,0,Oral Care,HPC,Province 3,East,1,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Club,3,4,3,4,10,3.7,MT
4P,Banner 82,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 82,Others,Others,DTRT 3,3/15/2015,Customer 82,Outlet 84,LSW5,LSW6,Oral Care,MIX,1,0,Oral Care,HPC,Province 3,East,1,0,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),E-Commerce,3,4,3,4,9,3.51,MT
4P,Banner 85,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 85,Global,Key Customer,DTRT 3,3/15/2015,Customer 85,Outlet 87,LSW5,LSW6,Oral Care,MIX,1,1,Oral Care,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Direct Sales,4,4,4,4,6,2.16,MT
4P,Banner 88,Drug,City 3,SEAA,Commune 3,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,3/15/2015,Customer 88,Outlet 90,LSW5,LSW6,Oral Care,MIX,1,1,Oral Care,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Mainstream Drugstores,4,4,4,4,7,2.8,MT
4P,Banner 91,MT,City 3,SEAA,Commune 3,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,3/15/2015,Customer 91,Outlet 93,LSW5,LSW6,Oral Care,MIX,1,1,Oral Care,HPC,Province 3,East,1,1,Area 3,Reg 3,Route 3,Territory 3,(blank),St Area 3,Loc 3,(blank),Mass Merchandiser (non-grocery),4,4,4,4,3,1.08,MT
6P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,3/15/2015,(blank),Outlet 100,LSW55,LSW66,Outlet 100,MIX,0,0,Hair,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 100,St Area 3,Loc 3,(blank),Mom & Pop,3,4,3,4,9,3.6,DT
6P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,3/15/2015,(blank),Outlet 100,LSW55,LSW66,Outlet 100,MIX,0,0,Skin Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 100,St Area 3,Loc 3,(blank),Mom & Pop,2,4,2,4,6,2.4,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,3/15/2015,(blank),Outlet 102,LSW55,LSW66,Outlet 102,MIX,1,1,Dressings,Foods,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 102,St Area 3,Loc 3,(blank),Mom & Pop,4,4,4,4,6,2.22,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,3/15/2015,(blank),Outlet 102,LSW55,LSW66,Outlet 102,MIX,0,0,Deodorants,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 102,St Area 3,Loc 3,(blank),Mom & Pop,3,4,3,4,6,2.22,DT
4P,Banner 100,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,3/15/2015,(blank),Outlet 102,LSW55,LSW66,Outlet 102,MIX,1,1,Oral Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 102,St Area 3,Loc 3,(blank),Mom & Pop,4,4,4,4,5,2,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 103,LSW55,LSW66,Outlet 103,MIX,1,1,Hair,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 103,St Area 3,Loc 3,(blank),Market Stalls,4,4,4,4,8,3.2,DT
6P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 103,LSW55,LSW66,Outlet 103,MIX,1,1,Skin Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 103,St Area 3,Loc 3,(blank),Market Stalls,4,4,4,4,10,3,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 105,LSW55,LSW66,Outlet 105,MIX,1,1,Dressings,Foods,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 105,St Area 3,Loc 3,(blank),Market Stalls,4,4,4,4,4,1.28,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 105,LSW55,LSW66,Outlet 105,MIX,0,0,Deodorants,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 105,St Area 3,Loc 3,(blank),Market Stalls,3,4,3,4,3,1.02,DT
4P,Banner 103,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 105,LSW55,LSW66,Outlet 105,MIX,1,1,Oral Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 105,St Area 3,Loc 3,(blank),Market Stalls,4,4,4,4,2,0.7,DT
4P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 108,LSW55,LSW66,Outlet 108,MIX,1,1,Dressings,Foods,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 108,St Area 3,Loc 3,(blank),Independent (family grocer),4,4,4,4,8,2.56,DT
4P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 108,LSW55,LSW66,Outlet 108,MIX,1,1,Deodorants,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 108,St Area 3,Loc 3,(blank),Independent (family grocer),4,4,4,4,3,0.9,DT
4P,Banner 106,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 108,LSW55,LSW66,Outlet 108,MIX,1,1,Oral Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 108,St Area 3,Loc 3,(blank),Independent (family grocer),4,4,4,4,4,1.48,DT
4P,Banner 109,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 111,LSW55,LSW66,Outlet 111,MIX,0,0,Dressings,Foods,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 111,St Area 3,Loc 3,(blank),Convenience,3,4,3,4,10,3.1,DT
4P,Banner 109,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 111,LSW55,LSW66,Outlet 111,MIX,1,1,Deodorants,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 111,St Area 3,Loc 3,(blank),Convenience,4,4,4,4,10,3.6,DT
4P,Banner 109,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 111,LSW55,LSW66,Outlet 111,MIX,1,1,Oral Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 111,St Area 3,Loc 3,(blank),Convenience,4,4,4,4,3,1.02,DT
4P,Banner 112,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,Others,DTRT 3,3/15/2015,(blank),Outlet 114,LSW55,LSW66,Outlet 114,MIX,1,1,Dressings,Foods,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 114,St Area 3,Loc 3,(blank),Mobile / Vending / Kiosks,4,4,4,4,7,2.17,DT
4P,Banner 112,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,Others,DTRT 3,3/15/2015,(blank),Outlet 114,LSW55,LSW66,Outlet 114,MIX,0,0,Deodorants,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 114,St Area 3,Loc 3,(blank),Mobile / Vending / Kiosks,3,4,3,4,6,2.4,DT
4P,Banner 112,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,Others,DTRT 3,3/15/2015,(blank),Outlet 114,LSW55,LSW66,Outlet 114,MIX,1,1,Oral Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 114,St Area 3,Loc 3,(blank),Mobile / Vending / Kiosks,4,4,4,4,10,3.1,DT
6P,Banner 115,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 115,LSW55,LSW66,Outlet 115,MIX,0,0,Hair,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 115,St Area 3,Loc 3,(blank),Hotels / Restaurants,3,4,3,4,3,1.05,DT
6P,Banner 115,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 115,LSW55,LSW66,Outlet 115,MIX,1,1,Skin Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 115,St Area 3,Loc 3,(blank),Hotels / Restaurants,4,4,4,4,3,1.02,DT
4P,Banner 115,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 117,LSW55,LSW66,Outlet 117,MIX,1,1,Dressings,Foods,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 117,St Area 3,Loc 3,(blank),Hotels / Restaurants,4,4,4,4,4,1.44,DT
4P,Banner 115,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 117,LSW55,LSW66,Outlet 117,MIX,1,1,Deodorants,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 117,St Area 3,Loc 3,(blank),Hotels / Restaurants,4,4,4,4,2,0.72,DT
4P,Banner 115,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 117,LSW55,LSW66,Outlet 117,MIX,0,0,Oral Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 117,St Area 3,Loc 3,(blank),Hotels / Restaurants,3,4,3,4,3,1.14,DT
6P,Banner 118,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 118,LSW55,LSW66,Outlet 118,MIX,1,1,Hair,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 118,St Area 3,Loc 3,(blank),Cafes / Snack Bars / Bars,4,4,4,4,7,2.38,DT
6P,Banner 118,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 118,LSW55,LSW66,Outlet 118,MIX,0,0,Skin Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 118,St Area 3,Loc 3,(blank),Cafes / Snack Bars / Bars,3,4,3,4,2,0.64,DT
4P,Banner 118,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 120,LSW55,LSW66,Outlet 120,MIX,1,1,Dressings,Foods,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 120,St Area 3,Loc 3,(blank),Cafes / Snack Bars / Bars,4,4,4,4,8,3.2,DT
4P,Banner 118,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 120,LSW55,LSW66,Outlet 120,MIX,1,1,Deodorants,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 120,St Area 3,Loc 3,(blank),Cafes / Snack Bars / Bars,4,4,4,4,3,1.05,DT
4P,Banner 118,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 120,LSW55,LSW66,Outlet 120,MIX,1,1,Oral Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 120,St Area 3,Loc 3,(blank),Cafes / Snack Bars / Bars,4,4,4,4,10,3.9,DT
6P,Banner 121,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 121,LSW55,LSW66,Outlet 121,MIX,1,1,Hair,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 121,St Area 3,Loc 3,(blank),SCO Services / Companies / Offices,4,4,4,4,7,2.31,DT
6P,Banner 121,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 121,LSW55,LSW66,Outlet 121,MIX,1,1,Skin Care,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 121,St Area 3,Loc 3,(blank),SCO Services / Companies / Offices,4,4,4,4,2,0.8,DT
4P,Banner 121,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 123,LSW55,LSW66,Outlet 123,MIX,0,0,Dressings,Foods,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 123,St Area 3,Loc 3,(blank),SCO Services / Companies / Offices,3,4,3,4,7,2.31,DT
4P,Banner 121,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 3,3/15/2015,(blank),Outlet 123,LSW55,LSW66,Outlet 123,MIX,0,0,Deodorants,HPC,Province 3,East,0,0,Area 3,Reg 3,Route 3,Territory 3,Outlet 123,St Area 3,Loc 3,(blank),SCO Services / Companies / Offices,3,4,3,4,10,3.7,DT
