4P/5P/6P,Banner,COTC Audited,COTC Compliance,COTC OOS,COTC OSA,COTC Void,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,NPD Audited,NPD Compliance,NPD Count,OOS Count,OSA Audited,OSA Compliance,OSA Count,Outlet classification,PS Compliance,PV Audited,PV Compliance,PV Count,Pack Compliance,Price Compliance,Priority Promo Audited,Priority Promo Compliance,Priority Promo Count,Product Compliance,Product category,Product division,Promo Compliance,Province,Region,SOF Audited,SOF Compliance,SOF Count,SP Audited,SP Compliance,SP Count,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Trade Format,Void Count
5P,Banner 143,1,1,0,1,0,Discounters,City 6,SEAA,Commune 6,Category,Thailand,Customer 142,Local,Key Customer,DTRT 6,2/15/2016,Customer 142   ABC,Outlet 143,LSW11,LSW12,7,1,7,0,7,1,7,MIX,1,0,0,0,1,1,7,1,7,1,Dressings,Foods,1,Province 6,Non Central,1,1,1,7,1,7,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Discounters,MT,0
5P,Banner 143,1,1,0,1,0,Discounters,City 6,SEAA,Commune 6,Category,Thailand,Customer 142,Local,Key Customer,DTRT 6,2/15/2016,Customer 142   ABC,Outlet 143,LSW11,LSW12,5,1,5,0,5,1,5,MIX,0,0,0,0,1,1,5,0,4,1,Oral Care,HPC,0,Province 6,Non Central,1,0,0,5,1,5,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,3/15/2015,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,1,9,1,8,MIX,1,0,0,0,1,1,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,3/15/2015,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,0,7,1,6,MIX,1,0,0,0,1,1,7,1,7,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,1
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,3/15/2015,Customer 142,Outlet 144,LSW9,LSW10,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,4/15/2015,Customer 142,Outlet 144,LSW9,LSW10,9,0,8,0,9,1,9,MIX,0,0,0,0,0,0,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,0,8,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,4/15/2015,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,1,7,1,6,MIX,1,0,0,0,1,1,7,1,7,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,4/15/2015,Customer 142,Outlet 144,LSW9,LSW10,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,5/15/2015,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,0,9,1,9,MIX,1,0,0,0,1,1,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,5/15/2015,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,0,7,1,7,MIX,1,0,0,0,1,1,7,1,7,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,5/15/2015,Customer 142,Outlet 144,LSW9,LSW10,5,1,5,1,5,1,4,MIX,1,0,0,0,1,1,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,6/15/2015,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,0,9,1,9,MIX,1,0,0,0,1,1,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,6/15/2015,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,2,7,1,5,MIX,1,0,0,0,1,1,7,1,7,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,6/15/2015,Customer 142,Outlet 144,LSW9,LSW10,5,0,4,0,5,1,5,MIX,0,0,0,0,0,0,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,0,4,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,7/15/2015,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,0,9,1,9,MIX,1,0,0,0,1,1,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,7/15/2015,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,1,7,1,6,MIX,1,0,0,0,1,1,7,1,7,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,7/15/2015,Customer 142,Outlet 144,LSW9,LSW10,5,1,5,2,5,0,3,MIX,0,0,0,0,1,1,5,1,5,0,Oral Care,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,0,1,0,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,8/15/2015,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,1,9,1,8,MIX,0,0,0,0,1,1,9,0,7,1,Deodorants,HPC,0,Province 5,Central,1,0,0,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,0,1,0,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,8/15/2015,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,2,7,1,5,MIX,1,0,0,0,1,1,7,1,7,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,8/15/2015,Customer 142,Outlet 144,LSW9,LSW10,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,0,1,0,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,9/15/2015,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,1,9,1,8,MIX,1,0,0,0,1,1,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,9/15/2015,Customer 142,Outlet 144,LSW9,LSW10,7,0,6,0,7,1,7,MIX,0,0,0,0,0,0,7,1,7,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,0,6,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,9/15/2015,Customer 142,Outlet 144,LSW9,LSW10,5,1,5,1,5,1,4,MIX,1,0,0,0,1,1,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,10/15/2015,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,2,9,1,7,MIX,1,0,0,0,1,1,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,0,1,0,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,10/15/2015,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,3,7,0,4,MIX,0,0,0,0,1,1,7,1,7,0,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,10/15/2015,Customer 142,Outlet 144,LSW9,LSW10,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,11/15/2015,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,0,9,1,9,MIX,1,0,0,0,1,1,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,11/15/2015,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,0,7,1,7,MIX,1,0,0,0,1,1,7,1,7,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,11/15/2015,Customer 142,Outlet 144,LSW9,LSW10,5,0,4,0,5,1,4,MIX,0,0,0,0,0,0,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,0,4,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,1
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,12/15/2015,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,0,9,1,8,MIX,1,0,0,0,1,1,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,1
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,12/15/2015,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,0,7,1,7,MIX,1,0,0,0,1,1,7,0,6,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,12/15/2015,Customer 142,Outlet 144,LSW9,LSW10,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,1/15/2016,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,0,9,1,9,MIX,1,0,0,0,1,1,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,1/15/2016,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,0,7,1,7,MIX,1,0,0,0,1,1,7,1,7,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,1/15/2016,Customer 142,Outlet 144,LSW9,LSW10,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,2/15/2016,Customer 142,Outlet 144,LSW9,LSW10,9,1,9,2,9,1,7,MIX,1,0,0,0,1,1,9,1,9,1,Deodorants,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,2/15/2016,Customer 142,Outlet 144,LSW9,LSW10,7,1,7,0,7,1,7,MIX,1,0,0,0,1,1,7,1,7,1,Dressings,Foods,1,Province 5,Central,1,1,1,7,1,7,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
4P,Banner 142,1,1,0,1,0,Discounters,City 5,SEAA,Commune 5,Category,Thailand,Customer 142,Local,Key Customer,DTRT 5,2/15/2016,Customer 142,Outlet 144,LSW9,LSW10,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Oral Care,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Discounters,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,3/15/2015,Customer 145,Outlet 145,LSW9,LSW10,5,1,5,0,5,1,5,MIX,1,0,0,0,1,1,5,1,5,1,Hair,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,0,0,0,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,3/15/2015,Customer 145,Outlet 145,LSW9,LSW10,1,1,1,1,1,0,0,MIX,0,3,1,3,1,1,1,1,1,0,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,3,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,0,1,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,3/15/2015,Customer 145,Outlet 145,LSW9,LSW10,3,1,3,2,3,0,1,MIX,0,1,1,1,1,1,3,1,3,0,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,3,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,0,0,0,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,3/15/2015,Customer 145,Outlet 145,LSW9,LSW10,3,1,3,0,3,1,3,MIX,1,1,1,1,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,0,1,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,3/15/2015,Customer 145,Outlet 145,LSW9,LSW10,9,1,9,4,9,0,5,MIX,0,0,0,0,1,1,9,0,8,0,Skin Care,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,4/15/2015,Customer 145,Outlet 145,LSW9,LSW10,5,1,5,1,5,1,4,MIX,1,0,0,0,1,1,5,1,5,1,Hair,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,0,0,0,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,4/15/2015,Customer 145,Outlet 145,LSW9,LSW10,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,3,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,4/15/2015,Customer 145,Outlet 145,LSW9,LSW10,3,1,3,0,3,1,3,MIX,1,1,1,1,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,3,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,0,0,0,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,4/15/2015,Customer 145,Outlet 145,LSW9,LSW10,3,1,3,0,3,1,3,MIX,1,1,1,1,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,4/15/2015,Customer 145,Outlet 145,LSW9,LSW10,9,1,9,0,9,1,8,MIX,1,0,0,0,1,1,9,1,9,1,Skin Care,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,1
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,5/15/2015,Customer 145,Outlet 145,LSW9,LSW10,5,1,5,0,5,1,5,MIX,0,0,0,0,1,1,5,0,4,1,Hair,HPC,0,Province 5,Central,1,0,0,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,0,0,0,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,5/15/2015,Customer 145,Outlet 145,LSW9,LSW10,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,3,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,5/15/2015,Customer 145,Outlet 145,LSW9,LSW10,3,1,3,0,3,1,3,MIX,1,1,1,1,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,3,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,0,0,0,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,5/15/2015,Customer 145,Outlet 145,LSW9,LSW10,3,1,3,1,3,0,2,MIX,0,1,1,1,1,1,3,1,3,0,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,5/15/2015,Customer 145,Outlet 145,LSW9,LSW10,9,1,9,1,9,1,8,MIX,1,0,0,0,1,1,9,1,9,1,Skin Care,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,6/15/2015,Customer 145,Outlet 145,LSW9,LSW10,5,1,5,1,5,1,4,MIX,1,0,0,0,1,1,5,1,5,1,Hair,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,0,0,0,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,6/15/2015,Customer 145,Outlet 145,LSW9,LSW10,1,1,1,0,1,1,1,MIX,1,3,1,3,1,1,1,1,1,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,3,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,6/15/2015,Customer 145,Outlet 145,LSW9,LSW10,3,1,3,0,3,1,3,MIX,1,1,1,1,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,3,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,0,0,0,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,6/15/2015,Customer 145,Outlet 145,LSW9,LSW10,3,1,3,0,3,1,3,MIX,1,1,1,1,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,6/15/2015,Customer 145,Outlet 145,LSW9,LSW10,9,1,9,0,9,1,9,MIX,1,0,0,0,1,1,9,1,9,1,Skin Care,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,7/15/2015,Customer 145,Outlet 145,LSW9,LSW10,5,1,5,2,5,0,3,MIX,0,0,0,0,1,1,5,1,5,0,Hair,HPC,1,Province 5,Central,1,1,1,5,1,5,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,0,0,0,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,7/15/2015,Customer 145,Outlet 145,LSW9,LSW10,1,1,1,1,1,0,0,MIX,0,3,1,3,1,1,1,1,1,0,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,3,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,7/15/2015,Customer 145,Outlet 145,LSW9,LSW10,3,1,3,0,3,1,3,MIX,1,1,1,1,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,3,1,3,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,0,0,0,0,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,7/15/2015,Customer 145,Outlet 145,LSW9,LSW10,3,1,3,0,3,1,3,MIX,1,1,1,1,1,1,3,1,3,1,Ice Cream,Beverages & Refreshments,1,Province 5,Central,0,0,0,1,1,1,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
6P,Banner 145,1,1,0,1,0,Club,City 5,SEAA,Commune 5,Category,Thailand,Customer 145,Global,Key Customer,DTRT 5,7/15/2015,Customer 145,Outlet 145,LSW9,LSW10,9,1,9,2,9,1,7,MIX,1,0,0,0,1,1,9,1,9,1,Skin Care,HPC,1,Province 5,Central,1,1,1,9,1,9,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Club,MT,0
