4P/5P/6P,Banner,Channel,City,Cluster,Commune,Compliance,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Outlet classification,Product category,Product division,Province,Region,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Total Category Length,Trade Format,Unilever Length
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,10/15/2015,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Dressings,Foods,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,3,MT,1.02
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,10/15/2015,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Oral Care,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,2,MT,0.8
5P,Banner 152,Direct,City 6,SEAA,Commune 6,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,11/15/2015,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Deodorants,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,6,MT,1.86
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,11/15/2015,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Dressings,Foods,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,8,MT,2.56
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,11/15/2015,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Oral Care,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,6,MT,1.98
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,12/15/2015,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Deodorants,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,7,MT,2.24
5P,Banner 152,Direct,City 6,SEAA,Commune 6,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,12/15/2015,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Dressings,Foods,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,8,MT,2.4
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,12/15/2015,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Oral Care,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,3,MT,1.02
5P,Banner 152,Direct,City 6,SEAA,Commune 6,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,1/15/2016,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Deodorants,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,3,MT,0.9
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,1/15/2016,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Dressings,Foods,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,10,MT,3.9
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,1/15/2016,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Oral Care,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,2,MT,0.78
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,2/15/2016,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Deodorants,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,8,MT,2.56
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,2/15/2016,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Dressings,Foods,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,7,MT,2.59
5P,Banner 152,Direct,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 6,2/15/2016,Customer 151   ABC,Outlet 152,LSW11,LSW12,MIX,Oral Care,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Direct Sales,5,MT,1.7
4P,Banner 151,Direct,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,3/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,4,MT,1.2
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,3/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,3,MT,1.05
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,3/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,10,MT,3.6
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,4/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,10,MT,3.9
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,4/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,9,MT,3.6
4P,Banner 151,Direct,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,4/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,8,MT,2.48
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,5/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,2,MT,0.7
4P,Banner 151,Direct,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,5/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,7,MT,2.17
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,5/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,3,MT,0.99
4P,Banner 151,Direct,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,6/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,10,MT,3
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,6/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,2,MT,0.68
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,6/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,3,MT,0.99
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,7/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,9,MT,3.24
4P,Banner 151,Direct,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,7/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,4,MT,1.2
4P,Banner 151,Direct,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,7/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,9,MT,2.79
4P,Banner 151,Direct,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,8/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,2,MT,0.6
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,8/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,7,MT,2.52
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,8/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,5,MT,1.95
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,9/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,5,MT,1.85
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,9/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,5,MT,1.6
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,9/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,10,MT,3.8
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,10/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,7,MT,2.31
4P,Banner 151,Direct,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,10/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,8,MT,2.48
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,10/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,8,MT,2.8
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,11/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,5,MT,1.85
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,11/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,3,MT,0.99
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,11/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,2,MT,0.72
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,12/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,3,MT,1.02
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,12/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,9,MT,3.33
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,12/15/2015,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,7,MT,2.31
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,1/15/2016,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,2,MT,0.7
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,1/15/2016,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,8,MT,2.56
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,1/15/2016,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,2,MT,0.78
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,2/15/2016,Customer 151,Outlet 153,LSW9,LSW10,MIX,Deodorants,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,2,MT,0.78
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,2/15/2016,Customer 151,Outlet 153,LSW9,LSW10,MIX,Dressings,Foods,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,4,MT,1.36
4P,Banner 151,Direct,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 151,Global,Key Customer,DTRT 5,2/15/2016,Customer 151,Outlet 153,LSW9,LSW10,MIX,Oral Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Direct Sales,10,MT,3.4
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,3/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,10,MT,3.2
6P,Banner 154,Drug,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,3/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT,2.1
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,4/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT,1.95
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,4/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,3,MT,1.05
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,5/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT,2
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,5/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,10,MT,3.6
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,6/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT,3.33
6P,Banner 154,Drug,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,6/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,4,MT,1.24
6P,Banner 154,Drug,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,7/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT,1.5
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,7/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,2,MT,0.68
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,8/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,3,MT,1.08
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,8/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,9,MT,3.6
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,9/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,4,MT,1.48
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,9/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,3,MT,1.08
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,10/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,4,MT,1.6
6P,Banner 154,Drug,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,10/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,10,MT,3.1
6P,Banner 154,Drug,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,11/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,3,MT,0.9
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,11/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,4,MT,1.6
6P,Banner 154,Drug,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,12/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,5,MT,1.55
6P,Banner 154,Drug,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,12/15/2015,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT,2.17
6P,Banner 154,Drug,City 5,SEAA,Commune 5,0,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,1/15/2016,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,6,MT,1.86
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,1/15/2016,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,7,MT,2.73
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,2/15/2016,Customer 154,Outlet 154,LSW9,LSW10,MIX,Hair,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,4,MT,1.48
6P,Banner 154,Drug,City 5,SEAA,Commune 5,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 5,2/15/2016,Customer 154,Outlet 154,LSW9,LSW10,MIX,Skin Care,HPC,Province 5,Central,Area 5,Reg 5,Route 5,Territory 5,St Area 5,Loc 5,Mainstream Drugstores,10,MT,3.8
5P,Banner 155,Drug,City 6,SEAA,Commune 6,0,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 6,3/15/2015,Customer 154   ABC,Outlet 155,LSW11,LSW12,MIX,Deodorants,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Mainstream Drugstores,5,MT,1.55
5P,Banner 155,Drug,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 6,3/15/2015,Customer 154   ABC,Outlet 155,LSW11,LSW12,MIX,Dressings,Foods,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Mainstream Drugstores,5,MT,1.6
5P,Banner 155,Drug,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 6,3/15/2015,Customer 154   ABC,Outlet 155,LSW11,LSW12,MIX,Oral Care,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Mainstream Drugstores,8,MT,2.72
5P,Banner 155,Drug,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 6,4/15/2015,Customer 154   ABC,Outlet 155,LSW11,LSW12,MIX,Deodorants,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Mainstream Drugstores,6,MT,2.1
5P,Banner 155,Drug,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 6,4/15/2015,Customer 154   ABC,Outlet 155,LSW11,LSW12,MIX,Dressings,Foods,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Mainstream Drugstores,4,MT,1.4
5P,Banner 155,Drug,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 6,4/15/2015,Customer 154   ABC,Outlet 155,LSW11,LSW12,MIX,Oral Care,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Mainstream Drugstores,2,MT,0.72
5P,Banner 155,Drug,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 6,5/15/2015,Customer 154   ABC,Outlet 155,LSW11,LSW12,MIX,Deodorants,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Mainstream Drugstores,3,MT,1.11
5P,Banner 155,Drug,City 6,SEAA,Commune 6,1,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 6,5/15/2015,Customer 154   ABC,Outlet 155,LSW11,LSW12,MIX,Dressings,Foods,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Mainstream Drugstores,9,MT,3.15
5P,Banner 155,Drug,City 6,SEAA,Commune 6,0,Category,Thailand,Customer 154,Regional,Key Customer,DTRT 6,5/15/2015,Customer 154   ABC,Outlet 155,LSW11,LSW12,MIX,Oral Care,HPC,Province 6,Non Central,Area 6,Reg 6,Route 6,Territory 6,St Area 6,Loc 6,Mainstream Drugstores,4,MT,1.2
