4P/5P/6P,Banner,CTA Compliance,CTA Compliant,CTA Message,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer subtype,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Modified Product Category,Month,Outlet classification,Product category,Product division,Province,Region,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Store type,Subchannel,Trade Format,Year
4P,Banner 88,0,3,4,Drug,City 3,SEAA,Commune 3,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,4/15/2015,Customer 88,Outlet 90,LSW5,LSW6,Oral Care,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mainstream Drugstores,MT,2015
4P,Banner 91,0,3,4,MT,City 3,SEAA,Commune 3,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,4/15/2015,Customer 91,Outlet 93,LSW5,LSW6,Oral Care,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mass Merchandiser (non-grocery),MT,2015
6P,Banner 100,0,3,4,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,4/15/2015,(blank),Outlet 100,LSW55,LSW66,Outlet 100,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mom & Pop,DT,2015
6P,Banner 100,1,4,4,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,4/15/2015,(blank),Outlet 100,LSW55,LSW66,Outlet 100,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mom & Pop,DT,2015
4P,Banner 100,1,4,4,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,4/15/2015,(blank),Outlet 102,LSW55,LSW66,Outlet 102,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mom & Pop,DT,2015
4P,Banner 100,1,4,4,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,4/15/2015,(blank),Outlet 102,LSW55,LSW66,Outlet 102,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mom & Pop,DT,2015
4P,Banner 100,1,4,4,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 100,Others,Others,DTRT 3,5/15/2015,(blank),Outlet 102,LSW55,LSW66,Outlet 102,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mom & Pop,DT,2015
6P,Banner 103,1,4,4,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 103,LSW55,LSW66,Outlet 103,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Market Stalls,DT,2015
6P,Banner 103,0,3,4,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 103,LSW55,LSW66,Outlet 103,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Market Stalls,DT,2015
4P,Banner 103,1,4,4,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 105,LSW55,LSW66,Outlet 105,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Market Stalls,DT,2015
4P,Banner 103,1,4,4,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 105,LSW55,LSW66,Outlet 105,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Market Stalls,DT,2015
4P,Banner 103,1,4,4,Small / Open Markets,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 103,Global,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 105,LSW55,LSW66,Outlet 105,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Market Stalls,DT,2015
6P,Banner 106,0,3,4,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 106,LSW55,LSW66,Outlet 106,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Independent (family grocer),DT,2015
6P,Banner 106,1,4,4,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 106,LSW55,LSW66,Outlet 106,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Independent (family grocer),DT,2015
4P,Banner 106,1,4,4,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 108,LSW55,LSW66,Outlet 108,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Independent (family grocer),DT,2015
4P,Banner 106,1,4,4,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 108,LSW55,LSW66,Outlet 108,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Independent (family grocer),DT,2015
4P,Banner 106,1,4,4,Independent (family grocer),City 3,SEAA,Commune 3,Outlet,Philippines,Customer 106,Local,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 108,LSW55,LSW66,Outlet 108,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Independent (family grocer),DT,2015
6P,Banner 109,1,4,4,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 3,5/15/2015,(blank),Outlet 109,LSW55,LSW66,Outlet 109,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Convenience,DT,2015
6P,Banner 109,0,3,4,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 3,6/15/2015,(blank),Outlet 109,LSW55,LSW66,Outlet 109,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Convenience,DT,2015
4P,Banner 109,1,4,4,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 3,6/15/2015,(blank),Outlet 111,LSW55,LSW66,Outlet 111,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Convenience,DT,2015
4P,Banner 109,0,3,4,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 3,6/15/2015,(blank),Outlet 111,LSW55,LSW66,Outlet 111,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Convenience,DT,2015
4P,Banner 109,1,4,4,Convenience,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 109,Regional,Key Customer,DTRT 3,6/15/2015,(blank),Outlet 111,LSW55,LSW66,Outlet 111,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Convenience,DT,2015
6P,Banner 112,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,Others,DTRT 3,6/15/2015,(blank),Outlet 112,LSW55,LSW66,Outlet 112,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mobile / Vending / Kiosks,DT,2015
6P,Banner 112,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,Others,DTRT 3,6/15/2015,(blank),Outlet 112,LSW55,LSW66,Outlet 112,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mobile / Vending / Kiosks,DT,2015
4P,Banner 112,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,Others,DTRT 3,6/15/2015,(blank),Outlet 114,LSW55,LSW66,Outlet 114,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mobile / Vending / Kiosks,DT,2015
4P,Banner 112,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,Others,DTRT 3,6/15/2015,(blank),Outlet 114,LSW55,LSW66,Outlet 114,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mobile / Vending / Kiosks,DT,2015
4P,Banner 112,0,2,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 112,Others,Others,DTRT 3,6/15/2015,(blank),Outlet 114,LSW55,LSW66,Outlet 114,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mobile / Vending / Kiosks,DT,2015
6P,Banner 115,0,3,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 3,6/15/2015,(blank),Outlet 115,LSW55,LSW66,Outlet 115,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Hotels / Restaurants,DT,2015
6P,Banner 115,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 3,6/15/2015,(blank),Outlet 115,LSW55,LSW66,Outlet 115,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Hotels / Restaurants,DT,2015
4P,Banner 115,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 3,6/15/2015,(blank),Outlet 117,LSW55,LSW66,Outlet 117,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Hotels / Restaurants,DT,2015
4P,Banner 115,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 117,LSW55,LSW66,Outlet 117,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Hotels / Restaurants,DT,2015
4P,Banner 115,0,3,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 115,Global,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 117,LSW55,LSW66,Outlet 117,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Hotels / Restaurants,DT,2015
6P,Banner 118,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 118,LSW55,LSW66,Outlet 118,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Cafes / Snack Bars / Bars,DT,2015
6P,Banner 118,0,3,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 118,LSW55,LSW66,Outlet 118,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Cafes / Snack Bars / Bars,DT,2015
4P,Banner 118,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 120,LSW55,LSW66,Outlet 120,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Cafes / Snack Bars / Bars,DT,2015
4P,Banner 118,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 120,LSW55,LSW66,Outlet 120,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Cafes / Snack Bars / Bars,DT,2015
4P,Banner 118,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 118,Regional,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 120,LSW55,LSW66,Outlet 120,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Cafes / Snack Bars / Bars,DT,2015
6P,Banner 121,0,3,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 121,LSW55,LSW66,Outlet 121,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),SCO Services / Companies / Offices,DT,2015
6P,Banner 121,0,3,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 121,LSW55,LSW66,Outlet 121,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),SCO Services / Companies / Offices,DT,2015
4P,Banner 121,0,3,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 123,LSW55,LSW66,Outlet 123,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),SCO Services / Companies / Offices,DT,2015
4P,Banner 121,0,1,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 123,LSW55,LSW66,Outlet 123,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),SCO Services / Companies / Offices,DT,2015
4P,Banner 121,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Local,Key Customer,DTRT 3,7/15/2015,(blank),Outlet 123,LSW55,LSW66,Outlet 123,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),SCO Services / Companies / Offices,DT,2015
6P,Banner 124,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,Others,DTRT 3,8/15/2015,(blank),Outlet 124,LSW55,LSW66,Outlet 124,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Travel & Leisure,DT,2015
6P,Banner 124,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,Others,DTRT 3,8/15/2015,(blank),Outlet 124,LSW55,LSW66,Outlet 124,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Travel & Leisure,DT,2015
4P,Banner 124,0,3,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,Others,DTRT 3,8/15/2015,(blank),Outlet 126,LSW55,LSW66,Outlet 126,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Travel & Leisure,DT,2015
4P,Banner 124,0,2,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,Others,DTRT 3,8/15/2015,(blank),Outlet 126,LSW55,LSW66,Outlet 126,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Travel & Leisure,DT,2015
4P,Banner 124,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,Others,DTRT 3,8/15/2015,(blank),Outlet 126,LSW55,LSW66,Outlet 126,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Travel & Leisure,DT,2015
6P,Banner 127,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Global,Key Customer,DTRT 3,8/15/2015,(blank),Outlet 127,LSW55,LSW66,Outlet 127,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Institutions education / government,DT,2015
6P,Banner 127,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Global,Key Customer,DTRT 3,8/15/2015,(blank),Outlet 127,LSW55,LSW66,Outlet 127,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Institutions education / government,DT,2015
4P,Banner 127,0,3,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Global,Key Customer,DTRT 3,8/15/2015,(blank),Outlet 129,LSW55,LSW66,Outlet 129,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Institutions education / government,DT,2015
4P,Banner 127,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Global,Key Customer,DTRT 3,8/15/2015,(blank),Outlet 129,LSW55,LSW66,Outlet 129,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Institutions education / government,DT,2015
4P,Banner 127,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Global,Key Customer,DTRT 3,8/15/2015,(blank),Outlet 129,LSW55,LSW66,Outlet 129,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Institutions education / government,DT,2015
6P,Banner 130,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 130,Regional,Key Customer,DTRT 3,8/15/2015,(blank),Outlet 130,LSW55,LSW66,Outlet 130,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Non-food retail,DT,2015
6P,Banner 130,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 130,Regional,Key Customer,DTRT 3,8/15/2015,(blank),Outlet 130,LSW55,LSW66,Outlet 130,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Non-food retail,DT,2015
4P,Banner 130,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 130,Regional,Key Customer,DTRT 3,9/15/2015,(blank),Outlet 132,LSW55,LSW66,Outlet 132,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Non-food retail,DT,2015
4P,Banner 130,1,4,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 130,Regional,Key Customer,DTRT 3,9/15/2015,(blank),Outlet 132,LSW55,LSW66,Outlet 132,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Non-food retail,DT,2015
4P,Banner 130,0,3,4,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 130,Regional,Key Customer,DTRT 3,9/15/2015,(blank),Outlet 132,LSW55,LSW66,Outlet 132,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Non-food retail,DT,2015
6P,Banner 94,1,4,4,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 94,Others,Others,DTRT 3,9/15/2015,(blank),Outlet 94,LSW55,LSW66,Outlet 94,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Perfumeries and Premium Beauty,DT,2015
6P,Banner 94,0,3,4,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 94,Others,Others,DTRT 3,9/15/2015,(blank),Outlet 94,LSW55,LSW66,Outlet 94,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Perfumeries and Premium Beauty,DT,2015
4P,Banner 94,0,3,4,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 94,Others,Others,DTRT 3,9/15/2015,(blank),Outlet 96,LSW55,LSW66,Outlet 96,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Perfumeries and Premium Beauty,DT,2015
4P,Banner 94,1,4,4,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 94,Others,Others,DTRT 3,9/15/2015,(blank),Outlet 96,LSW55,LSW66,Outlet 96,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Perfumeries and Premium Beauty,DT,2015
4P,Banner 94,0,3,4,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 94,Others,Others,DTRT 3,9/15/2015,(blank),Outlet 96,LSW55,LSW66,Outlet 96,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Perfumeries and Premium Beauty,DT,2015
6P,Banner 97,1,4,4,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 97,Regional,Key Customer,DTRT 3,9/15/2015,(blank),Outlet 97,LSW55,LSW66,Outlet 97,5,MIX,Hair,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Beauty Pharmacy-Chemist,DT,2015
6P,Banner 97,0,3,4,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 97,Regional,Key Customer,DTRT 3,9/15/2015,(blank),Outlet 97,LSW55,LSW66,Outlet 97,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Beauty Pharmacy-Chemist,DT,2015
4P,Banner 97,1,4,4,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 97,Regional,Key Customer,DTRT 3,9/15/2015,(blank),Outlet 99,LSW55,LSW66,Outlet 99,5,MIX,Dressings,Foods,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Beauty Pharmacy-Chemist,DT,2015
4P,Banner 97,1,4,4,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 97,Regional,Key Customer,DTRT 3,9/15/2015,(blank),Outlet 99,LSW55,LSW66,Outlet 99,5,MIX,Deodorants,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Beauty Pharmacy-Chemist,DT,2015
4P,Banner 97,1,4,4,Drug,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 97,Regional,Key Customer,DTRT 3,10/15/2015,(blank),Outlet 99,LSW55,LSW66,Outlet 99,5,MIX,Oral Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Beauty Pharmacy-Chemist,DT,2015
6P,Banner 67,1,4,4,Hypermarket,City 3,SEAA,Commune 3,Category,Philippines,Customer 67,Global,Key Customer,DTRT 3,10/15/2015,Customer 67,Outlet 67,LSW5,LSW6,Skin Care,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Hypermarket,MT,2015
6P,Banner 70,0,3,4,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 70,Others,Others,DTRT 3,10/15/2015,Customer 70,Outlet 70,LSW5,LSW6,Skin Care,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Large Supermarkets,MT,2015
6P,Banner 73,0,14,16,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 73,Regional,Key Customer,DTRT 3,10/15/2015,Customer 73,Outlet 73,LSW5,LSW6,Skin Care,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Small Supermarkets,MT,2015
6P,Banner 76,0,12,16,Discounters,City 3,SEAA,Commune 3,Category,Philippines,Customer 76,Local,Key Customer,DTRT 3,10/15/2015,Customer 76,Outlet 76,LSW5,LSW6,Skin Care,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Discounters,MT,2015
6P,Banner 79,1,4,4,Club,City 3,SEAA,Commune 3,Category,Philippines,Customer 79,Global,Key Customer,DTRT 3,10/15/2015,Customer 79,Outlet 79,LSW5,LSW6,Skin Care,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Club,MT,2015
6P,Banner 82,0,2,4,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 82,Others,Others,DTRT 3,10/15/2015,Customer 82,Outlet 82,LSW5,LSW6,Skin Care,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),E-Commerce,MT,2015
6P,Banner 85,1,4,4,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 85,Global,Key Customer,DTRT 3,10/15/2015,Customer 85,Outlet 85,LSW5,LSW6,Skin Care,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Direct Sales,MT,2015
6P,Banner 88,0,3,4,Drug,City 3,SEAA,Commune 3,Category,Philippines,Customer 88,Regional,Key Customer,DTRT 3,10/15/2015,Customer 88,Outlet 88,LSW5,LSW6,Skin Care,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mainstream Drugstores,MT,2015
6P,Banner 91,0,3,4,MT,City 3,SEAA,Commune 3,Category,Philippines,Customer 91,Local,Key Customer,DTRT 3,10/15/2015,Customer 91,Outlet 91,LSW5,LSW6,Skin Care,5,MIX,Skin Care,HPC,Province 3,East,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,(blank),Mass Merchandiser (non-grocery),MT,2015
