4P/5P/6P,Average of Cabinet Fill,Banner,CC Answer,CC Audited,CTA Compliance,CTA UL,CTA expected,Cabinet Care Compliance,Cabinet Fill Compliance,Cabinet Type Audited,Cabinet Type Compliance,Cabinet Type in UL,Channel,City,Cluster,Commune,Compliance Level,Country,Customer,Customer type,DT route type,Date of audit,Local Customer Name,Local Outlet Name,Local Sales Workforce 1,Local Sales Workforce 2,Location Audited,Location Compliance,Location in UL,Outlet classification,POS Kits Compliance,POS Kits available,POS Kits expected,PS Compliance,PV Compliance,Pack Compliance,Place Compliance,Planogram Compliance,Planogram Guideline UL,Planogram Guidelines Audited,Price Compliance,Product Compliance,Product category,Product division,Promo Compliance,Proposition Compliance,Province,Region,SOC Compliance,SOC/Cabinet Fill Compliance,SP Compliance,Sales area,Sales region,Sales route,Sales territory,Store area,Store location,Subchannel,Sum of NPD Audited,Sum of NPD Count,Sum of OOS Count,Sum of OSA Audited,Sum of OSA Count,Sum of PV Audited,Sum of PV Count,Sum of Promo Audited,Sum of Promo Count,Sum of SOC Audited,Sum of SOC UL,Sum of SP Audited,Sum of SP Count,Sum of Void Count,Trade Format
4P,0.68,Banner 121,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Key Customer,DTRT 3,3/15/2015,Customer 121,Outlet 121,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,SCO Services / Companies / Offices,7,7,1,7,6,5,5,7,7,15,15,7,7,0,DT
4P,0.54,Banner 121,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Key Customer,DTRT 3,4/15/2015,Customer 121,Outlet 121,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,SCO Services / Companies / Offices,7,7,0,7,7,5,5,7,7,18,15,7,7,0,DT
4P,0.593333,Banner 121,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Key Customer,DTRT 3,5/15/2015,Customer 121,Outlet 121,LSW 3,LSW 4,1,1,1,MIX,1,9,9,0,1,0,1,1,9,12,0,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,0,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,SCO Services / Companies / Offices,7,6,1,7,6,5,5,7,7,17,12,7,6,0,DT
4P,0.686667,Banner 121,18,21,1,12,12,1,1,1,1,1,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Key Customer,DTRT 3,6/15/2015,Customer 121,Outlet 121,LSW 3,LSW 4,3,1,3,MIX,1,9,9,0,1,1,1,1,9,12,1,0,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,SCO Services / Companies / Offices,7,7,3,7,4,5,5,7,7,20,10,7,7,0,DT
4P,0.686667,Banner 121,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Key Customer,DTRT 3,7/15/2015,Customer 121,Outlet 121,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,SCO Services / Companies / Offices,7,7,0,7,7,5,5,7,7,20,11,7,7,0,DT
4P,0.68,Banner 121,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Key Customer,DTRT 3,8/15/2015,Customer 121,Outlet 121,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,SCO Services / Companies / Offices,7,7,1,7,6,5,5,7,7,20,15,7,7,0,DT
4P,0.86,Banner 121,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 121,Key Customer,DTRT 3,9/15/2015,Customer 121,Outlet 121,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,SCO Services / Companies / Offices,7,7,1,7,6,5,5,7,7,20,12,7,7,0,DT
4P,0.63,Banner 124,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,10/15/2015,Customer 124,Outlet 124,LSW 3,LSW 4,2,1,2,MIX,1,9,9,0,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,0,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,7,1,7,6,5,5,7,6,20,15,7,7,0,DT
4P,0.7,Banner 124,17,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,11/15/2015,Customer 124,Outlet 124,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,7,0,7,7,5,5,7,7,20,15,7,7,0,DT
4P,0.736667,Banner 124,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,12/15/2015,Customer 124,Outlet 124,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,7,1,7,6,5,5,7,7,17,14,7,7,0,DT
5P,0.93,Banner 13,17,21,1,12,12,1,1,2,1,2,Club,City 1,SEAA,Commune 1,Category,Indonesia,Customer 13,Key Customer,DTRT 1,12/15/2015,Customer 13,Outlet 13,LSW 1,LSW 2,2,1,2,MIX,1,9,9,1,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Club,7,7,1,7,6,7,7,7,7,15,15,7,7,0,MT
4P,0.58,Banner 19,18,21,1,12,12,1,1,3,1,3,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 19,Key Customer,DTRT 1,12/15/2015,Customer 19,Outlet 19,LSW 1,LSW 2,3,1,3,MIX,0,8,9,0,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,0,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Direct Sales,7,7,0,7,7,7,7,7,7,17,15,7,7,0,MT
4P,0.66,Banner 16,18,21,1,12,12,1,1,2,1,2,Direct,City 1,SEAA,Commune 1,Category,Indonesia,Customer 16,Others,DTRT 1,12/15/2015,Customer 16,Outlet 16,LSW 1,LSW 2,2,1,2,MIX,1,9,9,1,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,E-Commerce,7,7,1,7,6,7,7,7,7,19,10,7,7,0,MT
4P,0.566667,Banner 10,18,21,1,12,12,1,1,3,1,3,Discounters,City 1,SEAA,Commune 1,Category,Indonesia,Customer 10,Key Customer,DTRT 1,12/15/2015,Customer 10,Outlet 10,LSW 1,LSW 2,3,1,3,MIX,0,8,9,0,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,0,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Discounters,7,7,0,7,7,9,9,7,7,18,13,7,7,0,MT
5P,0.753333,Banner 22,17,21,1,12,12,1,1,2,1,2,Drug,City 1,SEAA,Commune 1,Category,Indonesia,Customer 22,Key Customer,DTRT 1,12/15/2015,Customer 22,Outlet 22,LSW 1,LSW 2,2,1,2,MIX,1,9,9,1,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mainstream Drugstores,7,7,1,7,6,9,9,7,7,21,11,7,7,0,MT
4P,0.563333,Banner 1,18,21,1,12,12,1,1,3,1,3,Hypermarket,City 1,SEAA,Commune 1,Category,Indonesia,Customer 1,Key Customer,DTRT 1,12/15/2015,Customer 1,Outlet 1,LSW 1,LSW 2,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Hypermarket,7,7,0,7,7,9,9,7,7,20,11,7,7,0,MT
5P,0.54,Banner 25,12,21,0,11,12,0,1,1,1,1,Mass Merchandiser (non-grocery),City 1,SEAA,Commune 1,Category,Indonesia,Customer 25,Key Customer,DTRT 1,12/15/2015,Customer 25,Outlet 25,LSW 1,LSW 2,1,1,1,MIX,1,9,9,0,0,1,0,1,11,12,0,1,Ice Cream,Beverages & Refreshments,1,0,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Mass Merchandiser (non-grocery),7,7,1,7,6,9,8,7,7,19,11,7,7,0,MT
6P,0.596667,Banner 4,18,21,1,12,12,1,1,2,1,2,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 4,Others,DTRT 1,12/15/2015,Customer 4,Outlet 4,LSW 1,LSW 2,2,1,2,MIX,1,9,9,0,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,0,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Large Supermarkets,7,7,0,7,7,9,9,7,6,18,11,7,7,0,MT
4P,0.67,Banner 7,18,21,1,12,12,1,1,2,1,2,Supermarkets,City 1,SEAA,Commune 1,Category,Indonesia,Customer 7,Key Customer,DTRT 1,12/15/2015,Customer 7,Outlet 7,LSW 1,LSW 2,2,1,2,MIX,1,9,9,1,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 1,North,1,1,1,Area 1,Reg 1,Route 1,Territory 1,St Area 1,Loc 1,Small Supermarkets,7,7,1,7,6,9,9,7,7,19,10,7,7,0,MT
4P,0.756667,Banner 124,19,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,2/15/2016,Customer 124,Outlet 124,LSW 3,LSW 4,2,1,2,MIX,1,9,9,0,1,0,1,1,9,12,0,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,0,1,0,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,5,0,7,7,5,5,7,7,21,10,7,5,0,DT
4P,0.66,Banner 124,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,3/15/2015,Customer 124,Outlet 124,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,7,0,7,7,5,5,7,7,17,11,7,7,0,DT
4P,0.773333,Banner 124,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,4/15/2015,Customer 124,Outlet 124,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,7,0,7,7,5,5,7,7,17,15,7,7,0,DT
4P,0.423333,Banner 124,18,21,1,12,12,1,0,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,5/15/2015,Customer 124,Outlet 124,LSW 3,LSW 4,1,1,1,MIX,1,9,9,0,1,1,1,1,9,12,1,0,Ice Cream,Beverages & Refreshments,0,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,7,2,7,5,5,5,7,6,23,15,7,7,0,DT
4P,0.776667,Banner 124,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,6/15/2015,Customer 124,Outlet 124,LSW 3,LSW 4,3,1,3,MIX,1,9,9,0,1,0,1,1,9,12,0,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,0,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,6,1,7,6,5,5,7,7,20,15,7,6,0,DT
4P,0.603333,Banner 124,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,7/15/2015,Customer 124,Outlet 124,LSW 3,LSW 4,2,1,2,MIX,1,9,9,0,1,1,1,1,9,12,1,0,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,7,2,7,5,5,5,7,7,18,10,7,7,0,DT
4P,0.59,Banner 124,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,8/15/2015,Customer 124,Outlet 124,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,7,0,7,7,5,5,7,7,20,15,7,7,0,DT
4P,0.716667,Banner 124,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 124,Others,DTRT 3,9/15/2015,Customer 124,Outlet 124,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Travel & Leisure,7,7,0,7,7,5,5,7,7,18,10,7,7,0,DT
5P,0.33,Banner 127,18,21,1,12,12,1,0,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,10/15/2015,Customer 127,Outlet 127,LSW 3,LSW 4,2,1,2,MIX,1,9,9,0,1,0,1,1,12,12,0,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,0,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,6,0,7,7,5,5,7,7,19,10,7,6,0,DT
5P,0.566667,Banner 127,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,11/15/2015,Customer 127,Outlet 127,LSW 3,LSW 4,3,1,3,MIX,1,9,9,0,1,0,1,1,12,12,0,0,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,0,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,6,2,7,5,5,5,7,7,19,15,7,6,0,DT
5P,0.676667,Banner 127,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,12/15/2015,Customer 127,Outlet 127,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,0,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,7,1,7,6,5,5,7,7,22,10,7,7,0,DT
5P,0.403333,Banner 127,18,21,1,12,12,1,0,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,2/15/2016,Customer 127,Outlet 127,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,7,0,7,7,5,5,7,7,18,10,7,7,0,DT
5P,0.543333,Banner 127,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,3/15/2015,Customer 127,Outlet 127,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,7,0,7,7,5,5,7,7,20,15,7,7,0,DT
6P,0.786667,Banner 79,18,21,1,12,12,1,1,3,1,3,Club,City 3,SEAA,Commune 3,Category,Philippines,Customer 79,Key Customer,DTRT 3,12/15/2015,Customer 79,Outlet 79,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,0,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Club,7,7,0,7,7,9,9,7,7,21,10,7,7,0,MT
4P,0.83,Banner 85,18,21,1,12,12,1,1,3,1,3,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 85,Key Customer,DTRT 3,12/15/2015,Customer 85,Outlet 85,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Direct Sales,7,7,0,7,7,9,9,7,7,20,10,7,7,0,MT
6P,0.566667,Banner 82,18,21,1,12,12,1,1,3,1,3,Direct,City 3,SEAA,Commune 3,Category,Philippines,Customer 82,Others,DTRT 3,12/15/2015,Customer 82,Outlet 82,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,E-Commerce,7,7,1,7,6,9,9,7,7,15,11,7,7,0,MT
5P,0.443333,Banner 76,18,21,1,12,12,1,0,2,1,2,Discounters,City 3,SEAA,Commune 3,Category,Philippines,Customer 76,Key Customer,DTRT 3,12/15/2015,Customer 76,Outlet 76,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Discounters,7,7,1,7,6,9,9,7,7,19,15,7,7,0,MT
4P,0.866667,Banner 88,17,21,1,12,12,1,1,2,1,2,Drug,City 3,SEAA,Commune 3,Category,Philippines,Customer 88,Key Customer,DTRT 3,12/15/2015,Customer 88,Outlet 88,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mainstream Drugstores,7,7,1,7,6,9,9,7,7,18,12,7,7,0,MT
6P,0.556667,Banner 67,18,21,1,12,12,1,1,3,1,3,Hypermarket,City 3,SEAA,Commune 3,Category,Philippines,Customer 67,Key Customer,DTRT 3,12/15/2015,Customer 67,Outlet 67,LSW 3,LSW 4,1,1,1,MIX,1,9,9,0,0,0,1,1,11,12,0,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,0,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Hypermarket,7,5,1,7,6,9,7,7,7,20,10,7,5,0,MT
5P,0.526667,Banner 91,18,21,1,12,12,1,1,1,1,1,Mass Merchandiser (non-grocery),City 3,SEAA,Commune 3,Category,Philippines,Customer 91,Key Customer,DTRT 3,12/15/2015,Customer 91,Outlet 91,LSW 3,LSW 4,1,1,1,MIX,1,9,9,0,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,0,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Mass Merchandiser (non-grocery),7,7,0,7,7,9,9,7,5,19,12,7,7,0,MT
4P,0.563333,Banner 70,18,21,1,12,12,1,1,3,1,3,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 70,Others,DTRT 3,12/15/2015,Customer 70,Outlet 70,LSW 3,LSW 4,3,1,3,MIX,0,7,9,0,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,0,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Large Supermarkets,7,7,0,7,7,9,9,7,7,21,11,7,7,0,MT
5P,0.65,Banner 73,18,21,1,12,12,1,1,3,1,3,Supermarkets,City 3,SEAA,Commune 3,Category,Philippines,Customer 73,Key Customer,DTRT 3,12/15/2015,Customer 73,Outlet 73,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,10,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Small Supermarkets,7,7,0,7,7,9,9,7,7,21,12,7,7,0,MT
5P,0.703333,Banner 127,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,4/15/2015,Customer 127,Outlet 127,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,7,0,7,7,5,5,7,7,19,12,7,7,0,DT
5P,0.733333,Banner 127,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,5/15/2015,Customer 127,Outlet 127,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,9,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,7,1,7,6,5,5,7,7,15,11,7,7,0,DT
5P,0.72,Banner 127,17,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,6/15/2015,Customer 127,Outlet 127,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,11,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,7,0,7,7,5,5,7,7,19,15,7,7,0,DT
5P,0.66,Banner 127,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,7/15/2015,Customer 127,Outlet 127,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,7,1,7,6,5,5,7,7,22,11,7,7,0,DT
5P,0.74,Banner 127,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,8/15/2015,Customer 127,Outlet 127,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,0,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,7,1,7,6,5,5,7,7,21,10,7,7,0,DT
5P,0.556667,Banner 127,17,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 127,Key Customer,DTRT 3,9/15/2015,Customer 127,Outlet 127,LSW 3,LSW 4,2,1,2,MIX,1,9,9,0,1,1,1,1,12,12,1,0,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Institutions education / government,7,7,2,7,5,5,5,7,7,19,12,7,7,0,DT
6P,0.81,Banner 130,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 130,Key Customer,DTRT 3,10/15/2015,Customer 130,Outlet 130,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Non-food retail,7,7,0,7,7,5,5,7,7,20,10,7,7,0,DT
6P,0.673333,Banner 130,18,21,1,12,12,1,1,2,1,2,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 130,Key Customer,DTRT 3,11/15/2015,Customer 130,Outlet 130,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Non-food retail,7,7,1,7,6,5,5,7,7,20,10,7,7,0,DT
6P,0.71,Banner 130,18,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 130,Key Customer,DTRT 3,12/15/2015,Customer 130,Outlet 130,LSW 3,LSW 4,3,1,3,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Non-food retail,7,7,0,7,7,5,5,7,7,20,10,7,7,0,DT
6P,0.77,Banner 130,17,21,1,12,12,1,1,3,1,3,On Premise / Impulse,City 3,SEAA,Commune 3,Outlet,Philippines,Customer 130,Key Customer,DTRT 3,2/15/2016,Customer 130,Outlet 130,LSW 3,LSW 4,2,1,2,MIX,1,9,9,1,1,1,1,1,12,12,1,1,Ice Cream,Beverages & Refreshments,1,1,Province 3,East,1,1,1,Area 3,Reg 3,Route 3,Territory 3,St Area 3,Loc 3,Non-food retail,7,7,0,7,7,5,5,7,7,15,12,7,7,0,DT
